,word,S_Prob,NS_Prob,Ratio,Info_Gain,label
3718,http,0.047975,0.004381,10.950696,11.382610315771206,ham
2222,htt,0.048273,0.004463,10.816267,11.184857249572289,ham
3089,frakintosh,0.000796,8.3e-05,9.590361,9.416151662542651,ham
1022,newyorker,0.000697,8.3e-05,8.39759,7.7606719902977614,ham
3752,tldr,0.000697,8.3e-05,8.39759,7.7606719902977614,ham
2847,nytimes,0.000995,0.000165,6.030303,4.7056814228847985,ham
2658,woody,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,ham
3376,crazy,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,ham
1864,dated,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,ham
98,digiphile,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,ham
3998,yorker,0.0008960000000000001,0.000165,5.430303,3.990317313915221,ham
333,jill,0.000796,0.000165,4.824242,3.2970272974803887,ham
2282,prize,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,ham
360,wire,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,ham
3483,birthday,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,ham
1063,dont,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,ham
1299,views,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,ham
1326,latimes,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,ham
1964,cbc,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,ham
1325,thurs,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,ham
2952,latest,0.0010949999999999998,0.000248,4.415323,2.8477176703059883,ham
2250,arts,0.000697,0.000165,4.224241999999999,2.6433143212981167,ham
1939,npr,0.000697,0.000165,4.224241999999999,2.6433143212981167,ham
2111,mbi,0.000995,0.000248,4.012097,2.4207846815693617,ham
3796,york,0.001294,0.000331,3.9093660000000003,2.3147603609765106,ham
694,dirtbagg,0.000597,0.000165,3.618182,2.020719944073198,ham
3042,page,0.000597,0.000165,3.618182,2.020719944073198,ham
2195,womens,0.000597,0.000165,3.618182,2.020719944073198,ham
1942,perkins,0.000597,0.000165,3.618182,2.020719944073198,ham
2349,history,0.0008960000000000001,0.000248,3.6129029999999998,2.0154807059537494,ham
2294,video,0.001194,0.000331,3.607251,2.00987499073169,ham
2077,wife,0.000299,8.3e-05,3.60241,2.005076691749233,ham
1393,stream,0.000299,8.3e-05,3.60241,2.005076691749233,ham
225,surgery,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3454,west,0.000299,8.3e-05,3.60241,2.005076691749233,ham
141,bonhamcentresds,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3650,performance,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3367,launch,0.000299,8.3e-05,3.60241,2.005076691749233,ham
1139,harper,0.000299,8.3e-05,3.60241,2.005076691749233,ham
1590,archive,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3876,youth,0.000299,8.3e-05,3.60241,2.005076691749233,ham
831,progress,0.000299,8.3e-05,3.60241,2.005076691749233,ham
1126,bills,0.000299,8.3e-05,3.60241,2.005076691749233,ham
1250,martin,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3948,relationship,0.000299,8.3e-05,3.60241,2.005076691749233,ham
2118,legal,0.000299,8.3e-05,3.60241,2.005076691749233,ham
2931,citizens,0.000299,8.3e-05,3.60241,2.005076691749233,ham
2961,oughts,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3023,porn,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3545,decades,0.000299,8.3e-05,3.60241,2.005076691749233,ham
1255,jah,0.000299,8.3e-05,3.60241,2.005076691749233,ham
2380,excellent,0.000299,8.3e-05,3.60241,2.005076691749233,ham
2516,jay,0.000299,8.3e-05,3.60241,2.005076691749233,ham
2572,posting,0.000299,8.3e-05,3.60241,2.005076691749233,ham
557,pls,0.000299,8.3e-05,3.60241,2.005076691749233,ham
2991,prince,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3940,peace,0.000299,8.3e-05,3.60241,2.005076691749233,ham
3538,cover,0.0010949999999999998,0.000331,3.308157,1.7188724345480313,ham
2374,ray,0.000796,0.000248,3.209677,1.625577282834311,ham
540,talks,0.000796,0.000248,3.209677,1.625577282834311,ham
2595,police,0.0004980000000000001,0.000165,3.018182,1.447959005436429,ham
773,month,0.0004980000000000001,0.000165,3.018182,1.447959005436429,ham
2720,fantastic,0.0004980000000000001,0.000165,3.018182,1.447959005436429,ham
3832,ameliagreenhall,0.0004980000000000001,0.000165,3.018182,1.447959005436429,ham
1286,marriage,0.0004980000000000001,0.000165,3.018182,1.447959005436429,ham
1636,marikotamaki,0.001991,0.000661,3.0121029999999998,1.4424052173544617,ham
3018,new,0.007067,0.002562,2.7583919999999997,1.2155019426397464,ham
3210,toronto,0.0008960000000000001,0.000331,2.7069490000000003,1.170701502659785,ham
132,honda,0.000398,0.000165,2.412121,0.9223928745691964,ham
3760,solo,0.000398,0.000165,2.412121,0.9223928745691964,ham
811,little,0.000398,0.000165,2.412121,0.9223928745691964,ham
847,cook,0.000398,0.000165,2.412121,0.9223928745691964,ham
261,share,0.000398,0.000165,2.412121,0.9223928745691964,ham
3767,hiv,0.000398,0.000165,2.412121,0.9223928745691964,ham
3987,mckenziewark,0.000398,0.000165,2.412121,0.9223928745691964,ham
1508,john,0.001194,0.000496,2.407258,0.9184234241044686,ham
3191,diversity,0.000597,0.000248,2.407258,0.9184234241044686,ham
2085,hist,0.001194,0.000496,2.407258,0.9184234241044686,ham
3861,story,0.001393,0.000579,2.405872,0.9172928748924984,ham
1223,teamdnto,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
216,guest,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3383,knew,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2666,larry,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1539,boycottindiana,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3837,leaving,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3199,among,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
194,nomination,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2798,sites,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
117,raising,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1990,shakestweetz,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3702,members,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1852,sandwich,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1500,holy,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3859,spiritual,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2388,starts,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3034,dern,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2324,victory,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3333,average,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2392,sick,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1768,deray,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
924,tickets,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2825,serial,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3866,friday,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3233,radio,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
747,sued,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1457,synagogue,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2098,berkeley,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2821,weekend,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2980,performer,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1195,survivor,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
468,lawsuit,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
810,pizza,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1879,burning,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3978,north,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1405,casting,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2165,bike,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
511,helped,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3444,workers,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1693,kenyatta,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3065,ambivalent,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1675,wind,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1643,nelson,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3161,australia,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1941,easily,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
4007,explore,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
63,nominee,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2743,initiative,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3067,haaretz,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1687,jackson,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1644,copenhagen,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2424,named,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
1430,boys,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
2266,patriciaargquette,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
479,miller,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3416,explain,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
