Sentence,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Label
rt morningjewshow speaking jews comedy tonight temple emanu el san francisco words high holidays,1,0,0,0,0,0,0,0,neg
age face recognition thing reason platforms changing avatars actual faces increase affect better communication,0,0,0,0,0,0,0,1,pos
upside moment think network news booked baltimore panels bill cosby fb,0,1,0,0,0,0,0,0,pos
going think create experiences need broad knowledge human experience peopleoverinterfaces ux,0,0,0,0,1,0,0,0,pos
watching thread fb possible future ux speaker crowd suggestions seem white american dudes dream broadly people,0,1,0,0,1,0,0,1,pos
rt thepatrickwalsh kriss kross rapped try rhyme rhyme like rhymed jump jump,0,0,0,0,2,0,0,0,pos
thelancearthur hotdogsladies realize anyone ever made dessert,0,0,0,0,0,0,0,0,neg
wkamaubell stand want men telling sexist either people experts experience,0,0,0,0,0,0,0,0,neg
frogtosser thank becca,0,0,0,0,0,0,0,0,neg
deray thank,0,0,0,0,0,0,0,0,neg
rt iamsakuma hundreds people union square march uptown via th avenue blacklivesmatter http co r x wzem j,0,0,0,0,0,0,0,0,neg
leadership tech oths stop sound system front plaza disturbing neighborhood,0,1,0,0,0,0,0,1,pos
infuriating oakland pd tell authority anything thing school would,0,0,0,0,0,0,0,2,pos
best part heading toronto month hear school system councilmember dankalb ignored,0,0,0,0,0,0,0,2,pos
oakland tech got stadium level audio going giant crowd ppl front skul ignoring neighborhood,0,1,0,1,0,0,0,1,pos
twibnation grassroots media covering ground baltimore ferguson blacklivesmatter movement,0,0,0,0,0,0,0,1,pos
rt camerontw fingers crossed need good news rt pkedrosky ben horowitz lyft investor says uber losing order billion,1,1,0,0,1,1,1,1,pos
grandparents meet mine involved guy named mooch gluskin howigothere fb,0,0,0,0,0,0,0,0,neg
rt ozchrisrock media gonna show pic baltimore citizen lining protect police http c,0,0,0,1,0,0,0,2,pos
studiomondeo sticking mailbox switched phone weirding,0,0,0,0,0,0,0,0,neg
joni mitchell joni mitchell joni mitchell,0,0,0,0,0,0,0,0,neg
bowling alley japanese toilet seats surprise google today wait women bathroom,0,1,1,1,1,0,1,0,pos
rt joshaclu question someone going rule marriage equality http co staktjvgsg,0,1,0,1,2,0,0,3,pos
ellenpapadakis completely separate note,0,0,0,0,0,0,0,0,neg
ellenpapadakis hey civ pro oregon bakery case,0,0,0,1,0,1,0,0,neg
ellenpapadakis best thing world would get epc think,0,0,0,0,0,0,0,0,neg
ellenpapadakis provided claim legit public policy exception thought state whatever wants enough,0,2,0,0,0,0,0,1,pos
ellenpapadakis ancient recollection provided course nothing hanged always really ffand c,0,0,0,0,0,0,0,0,neg
ellenpapadakis giving talk able listen read mentioned facts life,0,0,0,0,0,0,0,1,pos
bookmeister studiomondeo nope thanks giving shot,1,0,0,1,0,1,1,0,neg
finding mailbox either crashing hanging happening,1,0,1,1,0,1,0,0,neg
jshahryar except desire design game called cocktail party worked bill gross first cd rom start,0,1,1,0,0,0,0,0,neg
jshahryar game really enjoyed one much galaga added two buttons game forgot genre,0,0,0,0,0,0,0,0,neg
scottjohnson keep em,0,0,0,0,0,0,0,0,neg
joan rivers get mark twain award posthumously next year twainforjoan fb,0,1,0,0,1,0,1,1,pos
sharkyl aw every nerd knows social cue miss used tech biz btw bandagon looks v cool,0,1,0,0,0,0,0,0,pos
sharkyl seemed like maybe nice shook hand went ironically niagara falls ny,0,0,0,0,0,0,0,0,neg
thxmt sharkyl heathr great set thur st time seeing talking guy actually sweet disablities handled great,0,2,0,0,1,0,1,1,pos
sharkyl sad,0,0,0,0,0,0,0,0,neg
lizgannes congrats,0,0,0,0,0,0,0,0,neg
kenyatta jah justin show great made miss conversation great making inspiration,0,1,0,0,1,0,0,1,pos
dearsarah already successful hero making strides upstart every woman every person bit go,0,2,0,0,2,0,1,2,pos
dearsarah yup reminds streep quotes witw core challenge get men identify women protagonists,1,0,0,1,0,0,0,0,neg
rt dearsarah heathr similarly though majority twitter bod graduate college hillary clinton initially consider,0,0,0,0,1,0,0,1,pos
dearsarah reminds people responded idea female host tds already proven double standard limiting,0,0,0,0,0,0,0,1,pos
burstofbeaden congrats jon,0,0,0,0,0,0,0,0,neg
ripplecreeknw sprawlgeek disagree tech makes people behave badly responsibility lies us humans,1,0,0,0,0,1,0,0,neg
twitter good enough history gender read way jlp heathr headline news facetious,0,1,0,0,1,0,1,1,pos
believe hell hard find ugly feminist jewish,1,0,2,1,0,1,0,0,neg
really twitter wrote encapsulation trend dickc ev rosenblattdavid karaswisher http co ushk wzp h,0,0,0,0,0,0,0,0,neg
page interesting way world capital believes hack usefulness spiritual practice without spirituality,0,0,0,0,0,0,0,0,neg
documentally maintenance change appealing,0,0,0,1,0,0,0,1,neg
jenafriedman guessing hundreds something publicly spoken,0,0,0,0,0,0,0,0,neg
picked another spectacular middle aged accomplishment slept night last night newsuperpower fb,0,1,0,0,0,0,1,0,pos
elisac sprawlgeek privileging corporate liability shield politics positive connection responsibility,1,0,0,0,0,0,0,0,neg
elisac sprawlgeek things together together erasure uniqueness,0,0,0,0,0,0,0,0,neg
elisac sprawlgeek believe bigger broader older current tech biz core emotional issue,0,0,0,0,0,1,0,0,neg
elisac sprawlgeek sustained value dismantling shared resources sense shared involvement ie public education,1,1,0,0,1,0,0,1,pos
elisac sprawlgeek think lot problem big capital funds names know direction invest exits vs,0,0,0,1,0,1,0,0,neg
sarahgranger elisac dooce makes life better business tech law medicine etc serve people reverse,0,0,0,0,0,0,0,2,pos
sprawlgeek elisac mylifeasaghost ripplecreeknw cyberselfish book paulina borsook saw happening tech first,0,0,0,0,0,0,0,0,neg
elisac saw women thing hollywood casting prove keep work,0,0,0,0,0,0,0,0,neg
oy vey price elisac heathr hey selected booth babes booths act cool notproud,0,0,0,0,0,0,0,0,neg
