,word,S_Prob,NS_Prob,Ratio,Info_Gain,label
3094,http,0.047975,0.004381,10.950696,11.382610315771206,spam
1847,htt,0.048273,0.004463,10.816267,11.184857249572289,spam
851,former,0.000796,8.3e-05,9.590361,9.416151662542651,spam
2572,frakintosh,0.000796,8.3e-05,9.590361,9.416151662542651,spam
3115,tldr,0.000697,8.3e-05,8.39759,7.7606719902977614,spam
858,newyorker,0.000697,8.3e-05,8.39759,7.7606719902977614,spam
3291,magic,0.000597,8.3e-05,7.1927710000000005,6.163458379486532,spam
2357,nytimes,0.000995,0.000165,6.030303,4.7056814228847985,spam
85,digiphile,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,spam
2665,laugh,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,spam
3064,fox,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,spam
2205,woody,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,spam
1930,lower,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,spam
2816,crazy,0.0004980000000000001,8.3e-05,6.0,4.668907502301861,spam
3320,yorker,0.0008960000000000001,0.000165,5.430303,3.990317313915221,spam
276,jill,0.000796,0.000165,4.824242,3.2970272974803887,spam
2924,slow,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,spam
1430,shooting,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,spam
1904,prize,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,spam
894,dont,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,spam
2902,birthday,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,spam
500,equalpay,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,spam
1101,thurs,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,spam
2485,tla,0.000398,8.3e-05,4.7951809999999995,3.264583223698052,spam
2455,latest,0.0010949999999999998,0.000248,4.415323,2.8477176703059883,spam
1617,npr,0.000697,0.000165,4.224241999999999,2.6433143212981167,spam
3147,york,0.001294,0.000331,3.9093660000000003,2.3147603609765106,spam
2532,page,0.000597,0.000165,3.618182,2.020719944073198,spam
