t_id,text
0,rt morningjewshow speaking about jews and comedy tonight at temple emanu el in san francisco in other words my high holidays
1,this age face recognition thing no reason platforms can t have changing avatars of our actual faces to increase affect better communication
2,only upside of the moment i can think of is that network news hasn t booked their baltimore panels with bill cosby fb
3,if you re going to think about create experiences then you need a broad knowledge of what the human experience is peopleoverinterfaces ux
4,watching a thread on fb about possible future of ux speaker and crowd suggestions seem white american dudes dream broadly people
7,rt thepatrickwalsh kriss kross once rapped some of them try to rhyme but they can t rhyme like this then rhymed jump with jump for
9,thelancearthur hotdogsladies i didn t realize anyone has ever made it to dessert there
11,wkamaubell i stand by you i don t want men telling me what s sexist either people are the experts on their own experience
12,frogtosser thank you becca
20,deray thank you
21,rt iamsakuma hundreds of people are in union square about to march uptown via th avenue blacklivesmatter http t co r x wzem j
25,leadership tech when will oths stop with the sound system in the front plaza that is disturbing the neighborhood
26,infuriating to have the oakland pd tell me they won t have the authority to do anything if i did the same thing the school is they would
27,the best part of heading to toronto for a month will be not having to hear this school system my councilmember dankalb has ignored this
28,oakland tech is once again got the stadium level audio going for the giant crowd of ppl in front of the skul ignoring the neighborhood
30,twibnation is grassroots media covering on the ground baltimore ferguson and all the blacklivesmatter movement
33,rt camerontw fingers crossed we need good news rt pkedrosky ben horowitz lyft investor says uber is losing on order of a billion do
34,how did your grandparents meet mine involved a guy named mooch gluskin howigothere fb
36,rt ozchrisrock the media isn t gonna show it but i will here s a pic of baltimore citizen s lining up to protect the police http t c
38,studiomondeo are you sticking with mailbox or have you switched which phone is it weirding out on for you
42,joni mitchell joni mitchell joni mitchell
43,the bowling alley and the japanese toilet seats didn t surprise me at google today the wait in the women s bathroom did
46,rt joshaclu this is not the question of someone who is going to rule against marriage equality http t co staktjvgsg
47,ellenpapadakis on a completely separate note
48,ellenpapadakis hey what was that civ pro oregon bakery case
49,ellenpapadakis best thing in the world would be to get epc i think you
50,ellenpapadakis provided you can claim a legit public policy exception but i thought a state having whatever it wants was enough
51,ellenpapadakis my ancient recollection provided of course nothing has hanged is that there is always an out really to ffand c
52,ellenpapadakis was just giving a talk so haven t been able to listen read have they mentioned facts of life
53,bookmeister studiomondeo nope thanks for giving it a shot
54,finding that mailbox is either crashing or hanging is this happening for you
55,jshahryar except for my desire to design a game called cocktail party when i worked at bill gross first cd rom start up
56,jshahryar the only game i really enjoyed after that one much was galaga once they added two buttons to a game i just forgot the genre
57,scottjohnson did you keep em
58,can joan rivers get the mark twain award posthumously for next year twainforjoan fb
62,sharkyl aw every nerd knows the social cue miss that used to be the tech biz btw bandagon looks v cool
63,sharkyl seemed like maybe that was it was nice and shook my hand before he went ironically he s from niagara falls ny
64,thxmt sharkyl heathr great set on thur st time seeing you talking guy is actually very sweet but has disablities you handled great
65,sharkyl very sad
66,lizgannes congrats
67,kenyatta jah justin this show is great and it made me miss both of you and more of this conversation great making inspiration
68,dearsarah with the already successful hero we re making some strides with the upstart or every woman as every person a bit to go
69,dearsarah yup reminds me of the streep quotes from witw about the core challenge being how to get men to identify with women protagonists
70,rt dearsarah heathr similarly though the majority of twitter s bod didn t graduate college only hillary clinton was initially consider
72,dearsarah this reminds me of how people responded to the idea of a female host for tds already proven is a double standard and limiting
73,burstofbeaden congrats jon
75,ripplecreeknw sprawlgeek i disagree that tech makes people behave badly the responsibility lies with us humans
77,twitter doesn t have a good enough history re gender for it to read that way jlp heathr it s from headline news it s facetious
78,if you don t believe in hell it s hard to find it same with ugly feminist jewish
79,really twitter who wrote this encapsulation of the trend dickc ev rosenblattdavid karaswisher http t co ushk wzp h
80,page interesting the way the world of capital believes it can hack all the usefulness from spiritual practice without the spirituality
82,documentally the maintenance change is very appealing
83,jenafriedman i m guessing hundreds to but something have publicly spoken
86,picked up another spectacular middle aged accomplishment slept through the night last night newsuperpower fb
87,elisac sprawlgeek privileging of corporate liability shield in politics over positive connection of responsibility to each other
88,elisac sprawlgeek are we to do things together or on our own and how can we do them together with erasure of our uniqueness
89,elisac sprawlgeek i believe it s bigger and broader and older than current tech biz and at core an emotional issue
90,elisac sprawlgeek sustained value dismantling of shared resources and sense of shared involvement ie public education
91,elisac sprawlgeek i think a lot i the problem is in big capital funds the names you don t know the direction to invest in exits vs
92,sarahgranger elisac dooce it s just what makes life better for more do business tech law medicine etc serve people or the reverse
93,sprawlgeek elisac mylifeasaghost ripplecreeknw cyberselfish is a book by paulina borsook that saw what was happening in tech first
94,elisac i saw women do the same thing re hollywood casting to prove themselves keep work
95,oy vey the price elisac heathr hey i selected booth babes for our booths and had to act all cool about it notproud
96,ripplecreeknw thanks that s v kind
97,elisac the web felt clearly like it was about people lots of early women inc dooce early blogging pre blogging software was v human
98,elisac that s really interesting early web times felt like a liberal arts nerd table bonanza hardware was a mature biz ie booth babes
99,rt elisac heathr ah see i was in more traditional tech hardware systems not internet during s early oughts super male dominated
100,elisac i was still am part of a group called no end about humanizing but capital has laid waste to those impulses leading
101,elisac it felt better for me as a woman coming to early web valley bc women ourselves were not a product as we re in hollywood
102,elisac but mylifeasaghost wrote cyberselfish early and she saw that impulse first and was right it would rule
103,elisac and the general leftover hippiness that was still in everything as well as the feeling of being at the nerd table earnestness
104,elisac also a culture of sharing information ideas and problem solving still felt that w developers fluentconf this week
105,elisac developers all time time and there was this orientation to education and being open for the most people to be able to use your stuff
106,elisac well i was coming from hollywood it seemed to me that the entire notion of a platform meant people were trying to encourage
107,elisac the earlier tech community felt to me full of caring for each other how do we re centre that make healthiness a goal over scale
108,elisac and all these choices are connected substituting the words choice and freedom for i care about how you re doing
109,elisac this one is even more insidious i think because it s going last longer upside of the downside is that it shows our dehumanization
110,elisac we need a giant relational reboot what does it look like to put the well being of everyone we work with and for first inc us
111,elisac if you are focussed on amazing ux for customers that doesn t create good things for those critical to creating it it s just fetish
112,elisac absolutely and many of those businesses are funded the way they are because they presume no obligation to employees
113,rt elisac heathr this makes me concerned abt sharing or collaborative economy it s an economy for few unless we change social appr
114,elisac otherwise you re just building the matrix to entrap yourself way we use capital is a choice many see it as magically in charge
115,elisac a culture that says how can shines a and tech support a good life for all is what i am interested in
116,me too great talks out there about this from pinboard baconmeteor elisac heathr that sounds like heaven to me lifestylebusiness
117,rt elisac heathr if you can build business that supports you your family maybe a few employees in lifestyle you enjoy are proud of con
118,rt elisac heathr i agree whenever i speak publicly abt entrepreneurism i mention that despite general disdain around the term lifesty
119,elisac valley and capital culture in general seek scale above all else what if we put a good life and community first
120,elisac sure or is there also a smaller scale to work on that is more sustainable for a good life
121,rt elisac heathr well exactly it s like being a solo consultant lack of scale exists in any business including that one
122,elisac any blogging at all the mediums don t go away but the way we use them does when culture changes
123,elisac i don t know this seems like a pretty specific thing about limits on individual personal blogging with a large audience not
124,kottke tcarmody what do you think made this change to public rock throwing happen and what would we need to treat each other better
126,rt afameducation congratulations to the first black female attorney general of the united states lorettalynch on your confirmation http
127,rt shannondowney a little help for folks who are confused about brucejennerabc talking about gender identity vs sexual orientation http
128,being strong and focused and athletic and competitive doesn t make you a man women or any gender they just make you someone to reckon with
129,bruce jenner is one example of how strong and focused and athletic women are happily those qualities are not restricted to one gender
130,feminism is about ending restrictions based on gender categories and about ending restrictions on how to be a woman brucejenner
131,and if bruce jenner is not your concept of who or how a woman is then maybe you are already wrong about who or what any woman is
132,rt thetaskforce beyond bruce jenner of transgender women who ve accessed a homeless shelter were physically assaulted there http
133,if you are not out as yourself you cannot be or feel known this is something everyone wants this more than anything is why ppl come out
134,coming out is about being yourself all the time it is always vulnerable and powerful kudos to bruce jenner and everyone else who does it
135,in case you re dying of curiousity we won i had including a one timer from a face off yoselftweet fb http t co ttjd k b j
136,just found out on the drive to the first tournament game that this is the california hockey championships fb
137,mt harnischfound more likely for a survivor of sexualassault to drop out of college thn person found guilty to be expelled aelizabethclark
138,rt joan rivers joan s nytimes bestseller is now out on paperback with new material diaryofamaddiva joanrivers http t co nk ghxnfg
139,not a single person looks good with that baggy wool cap barely clinging to their noggin fb
140,mattthomas apologies if i was interrupting
141,mattthomas and those economic problems are imo often extensions of some form of dehumanization or other wrapped up in a locke sandwich
142,mattthomas divide and conquer persists so does unite over someone else s ass
143,mattthomas like the us is thriving democracy but has it every been for everyone first nations people
144,mattthomas plenty of thriving democracy cathart onto minorities as ways to diffuse real economic problems
145,mattthomas y know going through the holocaust museum in berlin made it pretty clear to me there was no boom but maybe yrs coming
146,thejeffdavidson kthalps debs historic
152,benjammingh more than sf minimum wage
153,just paid to park for hours in the mission while i did a show fb
155,rt sherman alexie what s the over under on number of hours per week that rick santorum spends deeply thinking about gay men
156,peterc thanks peter
157,annehelen i have no idea what happened after the walk off on sandlers film and it will be v interesting to find out
158,annehelen i think the problem isn t punching down in the case it s not even being aware you re using someone as a punching bag
159,jenafriedman i share your sentiment but oy that headline when asked for getting started advice i always suggest watching bad open mics
162,caseymalone my pleasure it took me years before it dawned on me that feeling good with the person was part of the damn therapy
163,caseymalone toll of that by asking for minute free meetings where you can feel whether you re comfortable or not w them and their space
164,caseymalone it can be really dejecting if you re not in a good place and then disappointed when you reach out you can decrease the
165,caseymalone they are out there casey don t give up but liking your provider is critical for the care to do any good
167,yesterday crowd work with javascript coders today comedy for chabad codeswitch fb
168,weezus i love it
173,clevejones i m grateful for your work and that you are alive too xo
176,amoskane thank fun talking with you thanks for the lez dish not enough of that at javascript conferences
177,rt amoskane omg i met heathr at fluentconf the real freaking heather gold with freaking heather gold glasses and everything omggggg
181,thejeffdavidson thanks between himand morning joe they re copying us pretty good kthalps
183,fluentconf thanks for your help josh great to meet you
187,rt fluentconf our st meetup is off to a rocking start we re talking react w holtbt heathr in community lounge fluentconf http
188,tummeling a react meet up here fluentconf really fun helping people solve each other s problems fluentconf fb http t co p h spthr
189,hillary hey there introducing you to zahedab who is in the us for fluentconf does digital gov work in the uk and would love to meet f
191,rt peterc heathr fluentconf can you retweet this
192,what a pleasure to finally meet kathy sierra in person so much to talk a about and her new book looks fantastic fluentconf fb
193,hi everyone at fluentconf looking forward to meeting you and today say hello i want to talk with you fluentconf fb
196,i ll be in residence at fluentconf for the next two days making interesting conversations happen looking forward to seeing kathy sierra
197,like reo it s time for me to fly fb
205,look forward to commercials and movies where an attractive man is romantically excited about a bud light dog or an animated cuddly bear
206,thanks jim cool spot for a show thanks for having me jimhegarty heathr zachsherwin thanks so much for doing the show great set
207,happy with my set in la tonight and the nice words from sean patton many thanks zachsherwin and jimhegarty ftstweets fb
211,biggest disappointment for me at latimefob is writers giving a standing ovation to an actor but not any writers fb
212,lovely time burstofbeaden thanks to you and mirand
214,you guys i got to tell roz chast i loved her book it really is beautiful and the drawings of her mother dying are remarkable fb
220,buzz sounds right maybe people from la find oklahoma restaurants large or marfa
221,rt goldsbie lakoff in short don t respond to bullshit questions or statements because you just reinforce their broader premises
222,buzz ha does anyone think this when travelling to nyc
223,rt hoserlibrarian heathr and i d spend even less time listening to u
224,if i could get the s back i d appreciate wham a lot more fb
225,downtown la is just beautiful when i lived here in the s i only came for the cafeterias and occasional friend visit in a warehouse fb
226,coming from sf la restaurants taunt with their hugeness space is no matter jog to the restroom
228,vivalacho remoteryan marikotamaki glad i m not the only one they could make a fortune renting rooms steak bed razor blades
232,did you guys want to fall asleep the second you finished your meal remoteryan vivalacho marikotamaki
234,public service announcement lose and loose are different words
235,rt morningjewshow please send good vibes and a mshaberach if that s how you spell it or to kthalps uncle ricky
236,please to announce i ll be in residence fluentconf helping some interesting conversations and connections happen props to peterc fb
237,just had a bagel and lox at an airport i am a traitor to my people fb
238,had a bagel and lox at an airport i am a traitor to my people fb
239,rt peterc sarasoueidan positive it s great stuff and heathr is the expert has a great google tech talk on it i m only slightly a fan
240,will silicon valley make it s recommendation clear on fiorina who is running for presidential nom based on her business record
241,rt malouie hillary clinton is looking for a ux designer you heard that right message me if you re interested http t co sqjactw u
